id,name,countries,degree_of_endangerment,number_of_speakers,latitude,longitude
1895,Matagalpa,Nicaragua,Extinct,0,12.9517,-85.4381
488,Mator,Russian Federation,Extinct,0,54.0593,95.4492
781,Mattole,United States of America,Extinct,0,39.1375,-123.6931
771,Miami-Illinois,United States of America,Extinct,0,36.8866,-94.8775
839,Migueleño,United States of America,Extinct,0,35.7587,-120.6951
1813,Miraña (Brazil),Brazil,Critically endangered,0,-2.021,-65.6982
630,Mirití Tapuia,Brazil,Critically endangered,0,0.3076,-69.1699
2351,Mlahso (Syria),Syrian Arab Republic,Extinct,0,37.0542,41.2363
1987,Mlahso (Turkey),Turkey,Extinct,0,38.4595,40.6507
1295,Mo-peng,Sierra Leone,Extinct,0,7.4714,-12.2607
631,Mochica,Peru,Extinct,0,-7.079,-79.6453
2600,Moksela,Indonesia,Extinct,0,-3.4654,127.1694
825,Molala,United States of America,Extinct,0,44.8636,-122.4645
390,Mozarabic,Spain,Extinct,0,37.4574,-3.988
2687,Mulaha,Papua New Guinea,Extinct,0,-9.7002,147.4351
1838,Múra,Brazil,Extinct,0,-3.3598,-59.2382
35,Nagumi,Cameroon,Extinct,0,8.6814,13.1835
2601,Naka'ela,Indonesia,Extinct,0,-2.847,128.5208
104,Napore,Uganda,Extinct,0,3.8478,33.9147
901,Natchez,United States of America,Extinct,0,31.5544,-91.3875
827,New River Shasta,United States of America,Extinct,0,45.2835,-121.7134
682,Ngarla,Australia,Extinct,0,-20.5916,119.0917
39,Ngong,Cameroon,Extinct,0,9.0044,13.5104
2603,Nila (Nila Island),Indonesia,Extinct,0,-6.7331,129.5288
813,Nisenan,United States of America,Extinct,0,38.7654,-121.0064
958,Nooksack,United States of America,Extinct,0,49.0378,-122.4865
361,Norn,United Kingdom of Great Britain and Northern Ireland,Extinct,0,60.3051,-1.2744
831,Northeastern Pomo,United States of America,Extinct,0,39.3774,-122.5454
603,Nukiní,Brazil,Extinct,0,-7.4931,-73.4765
1257,Nupbikha,Bhutan,Vulnerable,0,27.3937,90.5003
105,Nyang'i,Uganda,Extinct,0,3.5024,33.3764
852,Obispeño,United States of America,Extinct,0,35.2692,-120.6707
31,Odut,Nigeria,Extinct,0,5.3077,8.2672
395,Old Prussian,Russian Federation,Extinct,0,54.8987,20.4895
158,Old Sirenik,Russian Federation,Extinct,0,64.4194,-173.9657
1782,Omagua (Brazil),Brazil,Critically endangered,0,-3.5572,-64.5117
639,Ona,Argentina,Extinct,0,-54.6229,-67.4121
1432,Ongkor Solon,China,Extinct,0,46.7774,83.0456
305,Opon-Carare,Colombia,Extinct,0,6.206,-73.7402
